annotator_id,level,language,included_in_evaluation,evaluation_order
annotator_001,2,Spanish,true,4
annotator_002,2,Chinese,true,3
annotator_003,1,French,false,
annotator_004,1,English,false,
annotator_005,1,English,false,
annotator_006,1,English,false,
annotator_007,1,English,false,
annotator_008,1,English,false,
annotator_009,1,English,false,
annotator_010,1,English,false,
annotator_011,2,English,true,4
annotator_012,2,English,true,2
annotator_013,1,English,false,
annotator_014,1,English,false,
annotator_015,1,English,false,
annotator_016,1,English,false,
annotator_017,1,English,false,
annotator_018,1,English,false,
annotator_019,2,Arabic,true,1
annotator_020,1,English,false,
annotator_021,2,Chinese,true,1
annotator_022,1,English,false,
annotator_023,1,English,false,
annotator_024,1,Arabic,false,
annotator_025,1,English,false,
annotator_026,1,English,false,
annotator_027,1,English,false,
annotator_028,1,English,false,
annotator_029,2,Russian,true,2
annotator_030,2,French,true,1
annotator_031,2,Russian,true,1
annotator_032,2,Chinese,true,2
annotator_033,2,Spanish,true,2
annotator_034,2,English,true,3
annotator_035,2,French,true,2
annotator_036,1,Welsh,false,
annotator_037,2,Welsh,true,3
annotator_038,2,Chinese,false,
annotator_039,1,Welsh,false,
annotator_040,2,Welsh,true,2
annotator_041,2,Spanish,true,3
annotator_042,2,Welsh,true,4
annotator_043,2,Maltese,true,3
annotator_044,1,Chinese,false,
annotator_045,1,Welsh,false,
annotator_046,1,Welsh,false,
annotator_047,2,Spanish,true,1
annotator_048,1,Welsh,false,
annotator_049,1,Welsh,false,
annotator_050,2,Welsh,true,1
annotator_051,1,Welsh,false,
annotator_052,2,Maltese,true,1
annotator_053,1,Welsh,false,
annotator_054,2,Arabic,true,2
annotator_055,2,Russian,false,
annotator_056,2,English,true,1
annotator_057,1,English,false,
annotator_058,1,Chinese,false,
annotator_059,1,English,false,
annotator_060,2,Maltese,true,2
annotator_061,2,Maltese,false,
annotator_062,3,Spanish,false,
annotator_063,1,English,false,
annotator_064,2,English,false,
