bootstrap_mean,ci_excludes_zero,ci_high,ci_low,cross,delta,delta_definition,joint,level,metric,model,n_bootstrap_valid,n_cross_finite,n_joint_finite,n_paired_finite,n_pairs,n_units,resampling_unit
0.004636296288011068,True,0.007258294216921207,0.002038461014433721,0.8982765323312168,0.0046317456941294965,cross_domain_minus_joint_training,0.8936447866370874,coarse_label,is_ok_f1,Qwen3-4B,10000,,,,5515,625,mr_id
0.005992626428819233,True,0.011193769943882647,0.0008357088702553446,0.7642384105960265,0.006000237675961251,cross_domain_minus_joint_training,0.7582381729200652,coarse_label,has_missing_f1,Qwen3-4B,10000,,,,5515,625,mr_id
0.02843299515654348,False,0.09550072966031381,-0.04200912759926729,0.23943661971830985,0.028573999910003145,cross_domain_minus_joint_training,0.2108626198083067,coarse_label,has_added_f1,Qwen3-4B,10000,,,,5515,625,mr_id
0.013020639291124592,False,0.035583909556087874,-0.010895959527233524,0.6339838542151843,0.013068661093364575,cross_domain_minus_joint_training,0.6209151931218198,coarse_label,macro_f1,Qwen3-4B,10000,,,,5515,625,mr_id
0.003177666636765836,False,0.014771654103382903,-0.008626821690383516,0.53161483986837,0.003241336328780542,cross_domain_minus_joint_training,0.5283735035395895,text_correlation,f1_pearson,Qwen3-4B,10000,576,577,572,5515,625,mr_id
-0.0013573180766807244,False,0.007647361494044942,-0.010767831369733642,0.5139132829727339,-0.0013019856968213839,cross_domain_minus_joint_training,0.5152152686695552,text_correlation,f1_spearman,Qwen3-4B,10000,576,577,572,5515,625,mr_id
-0.0002491279860448902,False,0.008146772006069052,-0.00908631140265273,0.4641653480948911,-0.00019068192973359377,cross_domain_minus_joint_training,0.46435603002462467,text_correlation,f1_kendall,Qwen3-4B,10000,576,577,572,5515,625,mr_id
0.0747525572563484,False,0.18495901410833096,-0.008226597904076231,0.8669877385490792,0.08121904851754513,cross_domain_minus_joint_training,0.785768690031534,system_correlation,f1_pearson,Qwen3-4B,10000,,,,21,21,system
0.017531726428248764,False,0.1254102790691717,-0.09144649128390422,0.7103896103896103,0.01558441558441559,cross_domain_minus_joint_training,0.6948051948051948,system_correlation,f1_spearman,Qwen3-4B,10000,,,,21,21,system
0.028590108542198657,False,0.13197969543147203,-0.0784313725490196,0.5904761904761905,0.02857142857142858,cross_domain_minus_joint_training,0.5619047619047619,system_correlation,f1_kendall,Qwen3-4B,10000,,,,21,21,system
-0.0017355146149619259,False,0.0021055434439454456,-0.006315965992104442,0.8921594165147174,-0.001728749935217544,cross_domain_minus_joint_training,0.893888166449935,coarse_label,is_ok_f1,Qwen3-8B,10000,,,,5515,625,mr_id
-0.00519107065955186,False,0.0027676315206197535,-0.014626506302016012,0.752203721841332,-0.005192727862809998,cross_domain_minus_joint_training,0.757396449704142,coarse_label,has_missing_f1,Qwen3-8B,10000,,,,5515,625,mr_id
-0.026526529424013724,False,0.04263266025860501,-0.09633810277008696,0.20714285714285716,-0.026107763204537393,cross_domain_minus_joint_training,0.23325062034739455,coarse_label,has_added_f1,Qwen3-8B,10000,,,,5515,625,mr_id
-0.0111510382328425,False,0.012403041857219164,-0.03491716434707198,0.6171686651663022,-0.011009747000854997,cross_domain_minus_joint_training,0.6281784121671572,coarse_label,macro_f1,Qwen3-8B,10000,,,,5515,625,mr_id
0.009704856515548182,False,0.02119688641925795,-0.0016205901735711788,0.527764058300096,0.009747702660900637,cross_domain_minus_joint_training,0.5180163556391953,text_correlation,f1_pearson,Qwen3-8B,10000,573,576,573,5515,625,mr_id
-0.001770592830846121,False,0.006028610662286409,-0.00980465356335086,0.5120511139611692,-0.0017761094578941927,cross_domain_minus_joint_training,0.5138272234190634,text_correlation,f1_spearman,Qwen3-8B,10000,573,576,573,5515,625,mr_id
-0.0020258001593572482,False,0.005635875896455964,-0.009668013356362934,0.46103487022054435,-0.0020329769348915727,cross_domain_minus_joint_training,0.4630678471554359,text_correlation,f1_kendall,Qwen3-8B,10000,573,576,573,5515,625,mr_id
0.06375515146947007,False,0.15867138315861448,-0.003201961938800881,0.8625421753627781,0.0645675448663402,cross_domain_minus_joint_training,0.7979746304964379,system_correlation,f1_pearson,Qwen3-8B,10000,,,,21,21,system
-0.0020637228213383494,False,0.1031341953665713,-0.12434758551997732,0.6987012987012987,-0.0025974025974024872,cross_domain_minus_joint_training,0.7012987012987012,system_correlation,f1_spearman,Qwen3-8B,10000,,,,21,21,system
0.0007405351166664424,False,0.10256410256410253,-0.11881188118811875,0.5714285714285714,0.0,cross_domain_minus_joint_training,0.5714285714285714,system_correlation,f1_kendall,Qwen3-8B,10000,,,,21,21,system
